,Date,Category,Category_id,Price,Weight,Indent,Parent,Parent_ID
73201,2015-05-15,Food,3,140.8,5.331384809795948e-16,1.0,All-items,2.0
73501,2015-06-15,Food,3,141,5.331384809795948e-16,1.0,All-items,2.0
73801,2015-07-15,Food,3,140.9,5.331384809795948e-16,1.0,All-items,2.0
74101,2015-08-15,Food,3,140.8,5.331384809795948e-16,1.0,All-items,2.0
74401,2015-09-15,Food,3,140.3,5.331384809795948e-16,1.0,All-items,2.0
74701,2015-10-15,Food,3,140.9,5.331384809795948e-16,1.0,All-items,2.0
75001,2015-11-15,Food,3,141.6,5.331384809795948e-16,1.0,All-items,2.0
75301,2015-12-15,Food,3,142.5,5.331384809795948e-16,1.0,All-items,2.0
75601,2016-01-15,Food,3,144.6,5.331384809795948e-16,1.0,All-items,2.0
75901,2016-02-15,Food,3,145,5.331384809795948e-16,1.0,All-items,2.0
76201,2016-03-15,Food,3,144.5,5.331384809795948e-16,1.0,All-items,2.0
76501,2016-04-15,Food,3,143.8,5.331384809795948e-16,1.0,All-items,2.0
76801,2016-05-15,Food,3,143.3,5.331384809795948e-16,1.0,All-items,2.0
77101,2016-06-15,Food,3,142.8,5.331384809795948e-16,1.0,All-items,2.0
77401,2016-07-15,Food,3,143.2,5.331384809795948e-16,1.0,All-items,2.0
77701,2016-08-15,Food,3,142.3,5.331384809795948e-16,1.0,All-items,2.0
78001,2016-09-15,Food,3,140.4,5.331384809795948e-16,1.0,All-items,2.0
78301,2016-10-15,Food,3,139.9,5.331384809795948e-16,1.0,All-items,2.0
78601,2016-11-15,Food,3,140.6,5.331384809795948e-16,1.0,All-items,2.0
78901,2016-12-15,Food,3,140.6,5.331384809795948e-16,1.0,All-items,2.0
79201,2017-01-15,Food,3,141.5,5.331384809795948e-16,1.0,All-items,2.0
79501,2017-02-15,Food,3,141.7,5.331384809795948e-16,1.0,All-items,2.0
79801,2017-03-15,Food,3,141.8,5.331384809795948e-16,1.0,All-items,2.0
80101,2017-04-15,Food,3,142.2,5.331384809795948e-16,1.0,All-items,2.0
