Category,Indent,MSE,RMSE
Photographic equipment and supplies,4.0,2.9002984300583203,1.7030262564207048
"Propane, kerosene, and firewood",4.0,23.99821270286074,4.898797066919668
Recreation services,4.0,0.2563501709845789,0.5063103504616303
Recreational reading materials,4.0,1.8627146804348271,1.3648130569549908
Rent of shelter,4.0,0.023773622476011457,0.1541869724588023
Sporting goods,4.0,1.0324680712990246,1.0161043604369704
Sugar and sweets,4.0,0.9349711993758554,0.9669390877277924
Tobacco and smoking products,4.0,1.7757753295231349,1.332582203664425
"Tools, hardware, outdoor equipment and supplies",4.0,1.04285710578837,1.0212037533168246
Transportation services,4.0,1.8189549585315656,1.3486863825706723
Video and audio products,4.0,1.1195144410699047,1.058071094525271
Water and sewer and trash collection services,4.0,0.06129671868752315,0.2475817414259847
Window and floor coverings and other linens,4.0,2.305438488174734,1.5183670465914143
Women’s and girls’ apparel,4.0,1.5324147988909615,1.2379074274318582
All items,0.0,0.11655232542452437,0.3413976060615018
All items less energy,1.0,0.0630556088718077,0.2511087590503519
All items less food,1.0,0.2138680639213541,0.4624587159102465
All items less food and energy,1.0,0.059776246326640074,0.24449181239182646
All items less food and shelter,1.0,0.4405729458778719,0.6637566917763404
"All items less food, shelter, and energy",1.0,0.13898728204566932,0.3728099811508127
"All items less food, shelter, energy, and used cars and trucks",1.0,0.07021816061599459,0.26498709518766117
All items less medical care,1.0,0.23602463093553255,0.4858236623874269
All items less shelter,1.0,0.43885683666731123,0.6624627058690257
Apparel less footwear,1.0,0.43184266583647013,0.6571473699532473
Commodities,1.0,1.2782885200088367,1.1306142224511582
Durables,1.0,1.3224245031097168,1.1499671747966187
Education and communication,1.0,0.03752893049309798,0.19372385112086218
Energy,1.0,11.981157099067218,3.4613808081554995
Food,1.0,0.23661951621251365,0.48643552112537347
Food and beverages,1.0,0.20837073602935927,0.45647643534947047
Fuels and utilities,1.0,1.233892359382342,1.1108070756807151
Household furnishings and operations,1.0,0.35646969613890517,0.5970508321231159
Housing,1.0,0.04988370792153203,0.223346609379977
Medical care,1.0,0.09149730090025096,0.30248520773791726
Nondurables,1.0,1.2656902627275974,1.125029005282796
Other goods and services,1.0,0.2564718748544591,0.5064305232255053
Other services,1.0,0.06642245731363058,0.2577255464901192
Recreation,1.0,0.13351041859870946,0.36539077519651403
Services,1.0,0.05402118055912007,0.23242456961156252
Transportation,1.0,2.6146272364648313,1.6169809017007069
Utilities and public transportation,1.0,0.8101349292002242,0.9000749575453282
Audio equipment,5.0,2.7268296789015567,1.651311502685534
Bakery products,5.0,1.381173055677709,1.1752331920422046
Bedroom furniture,5.0,1.4667495084124762,1.2110943433161911
"Beer, ale, and other malt beverages at home",5.0,0.8731154902853744,0.9344064909263925
"Beer, ale, and other malt beverages away from home",5.0,0.17775842029672,0.42161406558216247
Boys’ and girls’ footwear,5.0,4.198441890758488,2.049009978198859
Boys’ apparel,5.0,5.431914766612799,2.3306468558348343
Breakfast cereal,5.0,2.5130772559715826,1.5852688276666462
Butter and margarine,5.0,5.1654258127286425,2.27275731496538
Candy and chewing gum,5.0,1.192524288324752,1.0920276041954031
Car and truck rental,5.0,23.223187545972014,4.819044256486136
Carbonated drinks,5.0,2.1219637481569826,1.4566961756512518
Cigarettes,5.0,1.504749852749985,1.2266824579939117
"Clocks, lamps, and decorator items",5.0,3.112597526341574,1.7642555161715023
Coffee,5.0,1.99000368547684,1.4106749042486153
College textbooks,5.0,1.5401717568711715,1.2410365654851478
Computer software and accessories,5.0,3.055949229765118,1.7481273494128275
"Cosmetics, perfume, bath, nail preparations and implements",5.0,0.6394913920583946,0.7996820568565951
Dishes and flatware,5.0,6.693368594711629,2.587154536302698
Distilled spirits at home,5.0,0.18669137625072696,0.4320779747345691
Eggs,5.0,17.399182756776053,4.171232762239007
Floor coverings,5.0,3.0634685222232223,1.750276698760291
Flour and prepared flour mixes,5.0,4.579294220797028,2.139928555068376
Fresh fruits,5.0,2.333336377696224,1.5275262281532924
Fresh milk other than whole,5.0,2.132902509310228,1.4604459967113566
Fresh vegetables,5.0,1.2133005681101257,1.1014992365454122
Fresh whole milk,5.0,2.8590356060445115,1.6908682994380466
Frozen noncarbonated juices and drinks,5.0,6.271163228407526,2.5042290686771302
Garbage and trash collection,5.0,0.31503930151408754,0.5612836194956053
"Gasoline, unleaded midgrade",5.0,23.84987279738619,4.883633155488462
"Gasoline, unleaded premium",5.0,23.68894074617474,4.867128593552336
"Gasoline, unleaded regular",5.0,36.9670979836024,6.080057399696355
Girls’ apparel,5.0,4.998967164180987,2.2358370164618413
"Hair, dental, shaving, and miscellaneous personal care products",5.0,0.5867452528164561,0.7659929848350153
Health insurance,5.0,9.30171067991989,3.0498706005206007
Hospital and related services,5.0,0.20719771313651802,0.4551897550873899
Household cleaning products,5.0,1.4754917721685934,1.2146982226745018
Household paper products,5.0,2.3388033505380994,1.5293146669466358
Indoor plants and flowers,5.0,2.1202677372653707,1.4561139163078454
Internet services and electronic information providers,5.0,0.28155792623100395,0.5306203221051791
Jewelry,5.0,8.18235137943809,2.8604809699486013
"Living room, kitchen, and dining room furniture",5.0,2.910594334472157,1.7060464045482928
Lodging away from home,5.0,8.588028656241502,2.930533851748091
Major appliances,5.0,2.139932637815085,1.462850859730781
Meats,5.0,1.214178646542229,1.10189774777074
Men’s apparel,5.0,1.8111913329179699,1.3458050872685725
Men’s footwear,5.0,1.1475430745473203,1.0712343695696662
Miscellaneous household products,5.0,2.33032719697243,1.5265409254168163
Miscellaneous personal services,5.0,0.619554386256886,0.7871177715290679
Motor vehicle fees,5.0,0.1228124662010611,0.3504460959991723
Motor vehicle insurance,5.0,2.432849791848838,1.5597595301356033
Motor vehicle maintenance and repair,5.0,0.6780121142547323,0.823414910148421
"Moving, storage, freight expense",5.0,2.89626691981032,1.7018422135469315
Music instruments and accessories,5.0,1.3794689149110404,1.1745079458696908
New cars,5.0,0.7754461548228742,0.8805942055355997
New trucks,5.0,0.5962524902401951,0.7721738730624049
Newspapers and magazines,5.0,3.9922433164941786,1.9980598881150131
Nonelectric cookware and tableware,5.0,3.0741843849343184,1.753335217502437
Nonfrozen noncarbonated juices and drinks,5.0,0.9373297556049596,0.9681579187327652
Nonprescription drugs,5.0,1.1203508385431142,1.0584662670785092
Other appliances,5.0,2.4304969353405,1.5590051107486786
Other beverage materials including tea,5.0,1.3920302846763204,1.1798433305639866
Other fats and oils including peanut butter,5.0,2.424982807318715,1.557235629992685
Other foods,5.0,1.1248679257279304,1.0605979095434472
Other furniture,5.0,3.2943893375195263,1.8150452714793441
Other linens,5.0,6.1189350570600345,2.4736481271716952
Other recreation services,5.0,0.5019921415901363,0.7085140376803668
Other sweets,5.0,2.1391361119362884,1.462578583166145
Other video equipment,5.0,3.626504630205342,1.9043383707223205
Outdoor equipment and supplies,5.0,2.2703923575849014,1.5067821201437523
Personal care services,5.0,0.3088746612303004,0.5557649334298633
Personal computers and peripheral equipment,5.0,5.031047182266008,2.2429995947984493
Pet food,5.0,0.7749758447071627,0.8803271236916211
Pet services including veterinary,5.0,0.7285113316091143,0.853528752655184
Photographers and film processing,5.0,1.30117045960717,1.1406885901100134
Photographic equipment,5.0,4.0230764440767475,2.0057608142739123
Postage and delivery services,5.0,1.3308336031301362,1.1536176156465956
Prescription drugs,5.0,0.2533524045095951,0.5033412406207096
Processed fruits and vegetables,5.0,1.1596487312790067,1.0768698766698819
Professional services,5.0,0.08439718191467765,0.2905119307613332
Public transportation,5.0,15.129652373462793,3.889685382323716
"Purchase of pets, pet supplies, accessories",5.0,1.4371254497070607,1.1988016723824924
Recorded music and music subscriptions,5.0,1.0141200271982465,1.0070352661144726
Recreational books,5.0,1.202453598051028,1.096564452301381
Rent of primary residence,5.0,0.0349028926614512,0.18682315879315176
"Rice, pasta, cornmeal",5.0,2.0704218795817377,1.4388960628140373
Salad dressing,5.0,3.2667929242393385,1.8074271559980886
"Sewing machines, fabric and supplies",5.0,8.245370988656498,2.8714754027601384
Sports equipment,5.0,0.8823820642629456,0.9393519384463661
Sports vehicles including bicycles,5.0,2.334245463573634,1.5278237671844335
"Stationery, stationery supplies, gift wrap",5.0,3.990278330884136,1.9975681041917284
Sugar and artificial sweeteners,5.0,1.6802929506272573,1.2962611429134399
"Telephone hardware, calculators, and other consumer information items",5.0,1.8392817895299478,1.3562012348947141
Telephone services,5.0,0.2921831990317837,0.5405397293740616
Televisions,5.0,3.1219673357384234,1.7669089777740175
Tenants’ and household insurance,5.0,0.1731669231523097,0.41613329973977053
Tires,5.0,0.59845133472141,0.7735963642116023
Tobacco products other than cigarettes,5.0,1.6914558748996735,1.300559831341747
"Tools, hardware and supplies",5.0,0.9491647285638728,0.9742508550490848
Toys,5.0,1.3733335155413284,1.1718931331573406
"Tuition, other school fees, and childcare",5.0,0.028500372506836312,0.16882053342776854
Vehicle accessories other than tires,5.0,1.0823754912143242,1.040372765509711
Video and audio services,5.0,0.3139774806852198,0.56033693496433
Watches,5.0,3.5802380868438597,1.892151708199916
Water and sewerage maintenance,5.0,0.07217838837277413,0.26866035876692734
Window coverings,5.0,16.551136589196705,4.068308811926241
Wine at home,5.0,0.21643809014191606,0.46522907276084546
Wine away from home,5.0,0.40155817796825144,0.63368618256062
Women’s apparel,5.0,1.3353709803033673,1.1555825285557788
Women’s footwear,5.0,0.9603734402059332,0.9799864489909711
Bacon and related products,8.0,4.9660234288448075,2.228457634518729
Breakfast sausage and related products,8.0,4.7931742844864935,2.1893319265215343
Fresh and frozen chicken parts,8.0,2.5216998374158335,1.5879860948433502
Fresh whole chicken,8.0,3.8322931494515275,1.957624363725464
Frozen fish and seafood,8.0,4.32057075582196,2.0785982670593084
"Ham, excluding canned",8.0,10.539020512034599,3.2463857614329505
Shelf stable fish and seafood,8.0,4.461371176771199,2.1121958187562058
Commodities less food,2.0,1.3661528170674082,1.168825400591298
Commodities less food and beverages,2.0,1.4053185633252245,1.1854613293250964
Commodities less food and energy commodities,2.0,0.5171126415133291,0.7191054453370028
"Commodities less food, energy, and used cars and trucks",2.0,0.05943231997055416,0.24378744834497562
Communication,2.0,0.1714429036244352,0.41405664301449774
Domestically produced farm food,2.0,0.30671156254532317,0.5538154589259162
Education,2.0,0.052386745663979065,0.22888151009633578
Energy commodities,2.0,40.30464619907471,6.348594033254505
Energy services,2.0,2.293434218248017,1.514408867594223
Food at home,2.0,0.2863456151745424,0.5351127125891726
Food away from home,2.0,0.09497030529000405,0.30817252520301686
Household energy,2.0,2.902305524107966,1.7036154272921944
Nondurables less food,2.0,5.365538816604634,2.316363273885302
Nondurables less food and apparel,2.0,7.0125093033111785,2.648114291965356
Nondurables less food and beverages,2.0,5.616723522920708,2.3699627682562245
"Nondurables less food, beverages, and apparel",2.0,8.13939465334812,2.852962434619166
Personal care,2.0,0.24475924144723382,0.4947314841883765
"Pets, pet products and services",2.0,0.7354786048385641,0.8576004925596558
Photography,2.0,0.5831612785441955,0.7636499712199272
Private transportation,2.0,3.2313812512703093,1.797604308870645
Services less energy services,2.0,0.037810150824076544,0.1944483243025677
Services less medical care services,2.0,0.06719987559930664,0.2592293879931568
Services less rent of shelter,2.0,0.1907659756845605,0.4367676449607508
Video and audio,2.0,0.21947856940860572,0.4684853993547779
